"Quarter","Men","Women","Total"
"Jun-08",3.8,3.8,3.8
"Sep-08",4.1,4,4
"Dec-08",4.2,4.6,4.4
"Mar-09",5.1,4.8,5
"Jun-09",5.5,5.9,5.7
"Sep-09",6.3,6,6.1
"Dec-09",6.5,6.5,6.5
"Mar-10",5.6,6.2,5.9
"Jun-10",6.6,6.4,6.5
"Sep-10",5.5,6.5,6
"Dec-10",5.9,6.5,6.2
"Mar-11",5.7,6.3,6
"Jun-11",5.9,6.1,6
"Sep-11",5.6,6.3,5.9
"Dec-11",6,6,6
"Mar-12",6,6.6,6.3
"Jun-12",6.1,6.6,6.3
"Sep-12",6.5,6.8,6.7
"Dec-12",5.9,6.6,6.3
"Mar-13",5.1,6.4,5.7
"Jun-13",5.4,6.5,5.9
"Sep-13",5.4,6.2,5.8
"Dec-13",4.9,6.4,5.6
"Mar-14",5.1,6.1,5.5
"Jun-14",4.6,5.9,5.2
"Sep-14",4.5,6.1,5.2
"Dec-14",4.8,6.2,5.5
"Mar-15",5.1,5.8,5.4
"Jun-15",4.7,6.2,5.5
"Sep-15",5.2,6.1,5.6
"Dec-15",4.6,5.3,4.9
"Mar-16",4.9,5.5,5.2
"Jun-16",4.6,5.4,5
"Sep-16",4.7,5.2,5
"Dec-16",4.7,5.8,5.2
"Mar-17",4.3,5.5,4.9
"Jun-17",4.7,4.9,4.8
"Sep-17",4.1,5.4,4.7
"Dec-17",3.9,5,4.5
"Mar-18",3.9,4.8,4.3
"Jun-18",4.3,4.7,4.5
"Sep-18",3.9,4,4
"Dec-18",4.4,4.3,4.3
"Mar-19",3.9,4.4,4.1
"Jun-19",3.7,4.3,4
"Sep-19",3.8,4.5,4.1
"Dec-19",3.8,4.3,4.1
"Mar-20",4,4.3,4.2
"Jun-20",3.6,4.4,4